,Congruent,Incongruent
0,12.079,19.278
1,16.791,18.741
2,9.564,21.214000000000002
3,8.63,15.687000000000001
4,14.669,22.803
5,12.238,20.878
6,14.692,24.572
7,8.987,17.394000000000002
8,9.401,20.761999999999997
9,14.48,26.281999999999996
10,22.328000000000003,24.524
11,15.298,18.644000000000002
12,15.073,17.51
13,16.929000000000002,20.33
14,18.2,35.255
15,12.13,22.158
16,18.495,25.139
17,10.639000000000001,20.429000000000002
18,11.344000000000001,17.425
19,12.369000000000002,34.288000000000004
20,12.944,23.894000000000002
21,14.232999999999999,17.96
22,19.71,22.058000000000003
23,16.004,21.156999999999996
